project_name_en_resolved,developer_name_en,project_number,project_id,project_name,developer_number,developer_name,project_status,project_status_ar
Ventana Residences,,3861,782452414,فينتانا ريزيدنسز,2222.0,انترناشونال سيتي ( ش.ذ.م.م ),PENDING,قيد التسجيل
سانا بيزنس بارك,,3863,782991544,سانا بيزنس بارك,2034.0,ليوان(ش.ذ.م.م.),PENDING,قيد التسجيل
أيه بي هيلز,,3865,783492708,أيه بي هيلز,1514.0,مراس العقارية (ش.ذ.م.م),PENDING,قيد التسجيل
نيو بليس,,3413,685612970,نيو بليس,1013.0,دبي لاند ريزيدنسز (ش.ذ.م.م),PENDING,قيد التسجيل
Blue Marina Residence by Shakirov Developments,,3867,784988734,بلو مارينا ريزيدنس باي شاكيروف دفيليبومنتس,2355.0,النخلة  - ديره (ش.ذ.م.م),PENDING,قيد التسجيل
SUNSET BAY GRAND BY IMTIAZ,,3868,785127590,صن سيت باي جراند من امتياز,1641.0,شركة نخيل (ش.م.خ),NOT_STARTED,تحت الانشاء
موتر سيتي هيلز المرحلة الاولى,,2319,383876606,موتر سيتي هيلز المرحلة الاولى,1384.0,الاتحاد العقارية (شركة مساهمة عامة),PENDING,قيد التسجيل
Bearys Wafira,,3325,665441759,بيريس وافرة,1515.0,مدينه دبى الطبيه منطقه حرة - ذ.م.م.,PENDING,قيد التسجيل
Al Ghaf 2,,3873,787513282,الغاف 2,234.0,الفرجان ( ش.ذ.م.م ),PENDING,قيد التسجيل
جرين سيل ريزيدنسز,,3333,669258108,جرين سيل ريزيدنسز,1917.0,قرية جميرا (ش.ذ.م.م),PENDING,قيد التسجيل
II ذا اس في شوبا هارتلاند,,3877,789194169,II ذا اس في شوبا هارتلاند,966.0,شوبا ش.ذ.م.م,PENDING,قيد التسجيل
Ocean Crest by SD,,3878,789515767,اوشن كريست باي اس دي,2072.0,شركة نخيل (ش.م.خ),PENDING,قيد التسجيل
Marea,,3879,789545673,ماريا,1872.0,النخلة  - ديره (ش.ذ.م.م),PENDING,قيد التسجيل
Xenia Residence,,3880,789566641,زينيا ريزيدنس,2263.0,قرية جميرا (ش.ذ.م.م),PENDING,قيد التسجيل
Ocean Bay by Samana Developers ,,3881,790263916,اوشن باي باي سامانا ديفيلوبرز,2072.0,شركة نخيل (ش.م.خ),PENDING,قيد التسجيل
